Gotham Knights,"
Action, Adventure, Crime            ",2022,"Directors:
Lloyd Colaco, 
Alice Bernier, 
Geoff Ellenor, 
Ann Lemay, 
Wilson Mui, 
Patrick Redding","
Batman is dead. A new expansive, criminal underworld has swept the streets of Gotham City. It is now up to the Batman Family; Batgirl, Nightwing, Red Hood, and Robin; to protect Gotham.",629,"Stars:
America Young, 
Christopher Sean, 
Sloane Morgan Siegel, 
Stephen Oyoung",6.7
Saints Row,"
Action, Comedy, Crime            ",2022,"Directors:
Douglas Carrigan, 
Larry E Gates II, 
Jaimie Johnson","
A reboot of the Saints Row series, about a criminal gang taking over a city.",551,"Stars:
Max Mittelman, 
Erica Lindbeck, 
Catero Colbert, 
Bryce Charles",4.7
Overwatch 2,"
Action, Adventure, Fantasy            ",2022,None,"
The sequel to 2016s vastly popular First Person Shooter arena video game Overwatch.",539,"Stars:
Aaron Phillips, 
Anjali Bhimani, 
Aysha Selim, 
Benz Antoine",5.8
Pokémon Legends: Arceus,"
Action, Adventure, Fantasy            ",2022,"Director:
Kazumasa Iwao","
Get ready for a new kind of grand, Pokémon adventure in Pokémon Legends: Arceus, a new game from Game Freak that blends action and exploration with the RPG roots of the Pokémon series.",499,"Stars:
Tamaki Fujii, 
Tatsuya Katono",7.9
The Dark Pictures: The Devil in Me,"
Horror            ",2022,"Directors:
Will Doyle, 
Tom Heaton","
A documentary film crew receives a mysterious invite to a replica of the 'Murder Castle' of H.H. Holmes, America's first serial killer. They soon discover that they're being watched, and ...                See full summary »
",445,"Stars:
Jessie Buckley, 
Paul Kaye, 
Fehinti Balogun, 
Gloria Obianyo",7.3
MultiVersus,"
Action, Fantasy, Sci-Fi            ",2022,"Director:
Tony Huynh","
A crossover fighting game featuring many different Warner Bros properties.",434,"Stars:
Maisie Williams, 
Kate Micucci, 
Matthew Lillard, 
Tara Strong",7.1
Uncharted: Legacy of Thieves Collection,"
Action, Adventure, Drama            ",2022,"Directors:
Neil Druckmann, 
Kurt Margenau, 
Bruce Straley","
Nathan Drake and Chloe Frazer are forced to confront their pasts and forge their own legacies.",425,"Stars:
Nolan North, 
Troy Baker, 
Richard McGonagle, 
Emily Rose",9.4
Tiny Tina's Wonderlands,"
Action, Adventure, Comedy            ",2022,None,"
Embark on an epic adventure full of whimsy, wonder, and high-powered weaponry. Bullets, magic, and broadswords collide across this chaotic fantasy world brought to life by the unpredictable Tiny Tina.",424,"Stars:
Andy Samberg, 
Ashly Burch, 
Wanda Sykes, 
Will Arnett",8.1
As Dusk Falls,"
Crime, Thriller            ",2022,"Director:
Caroline Marchal","
As Dusk Falls is an original interactive drama from INTERIOR/NIGHT that explores the entangled lives of two families across thirty years. Starting in 1998 with a robbery-gone-wrong in small...                See full summary »
",395,"Stars:
Mali Bamber, 
Clara Emanuel, 
Josh Taylor, 
Gabriel Persaud",8
Sifu,"
Action, Adventure            ",2022,"Director:
Jordan Layani","
Sifu is the new game of Sloclap, the independent studio behind Absolver. A third person action game featuring intense hand-to-hand combat. It puts you in control of a young Kung-Fu student on a path of revenge.",392,"Stars:
Rae Lim, 
Nicholas Goh, 
Dan Li, 
Kirsty Rider",7.7
FIFA 23,"
Sport            ",2022,None,"
FIFA 23 is a football simulation video game. It is the 30th installment in the FIFA series that is developed by EA Sports, and the final installment under the FIFA banner.",345,"Stars:
Pierre-Emerick Aubameyang, 
Jessica Larsh",5.6
Teenage Mutant Ninja Turtles: Shredder's Revenge,"
Action, Adventure, Fantasy            ",2022,"Director:
Jonathan Lavigne","
Teenage Mutant Ninja Turtles: Shredder's Revenge reunites Leonardo, Michelangelo, Donatello and Raphael as they kick shell in a beautifully realized beat 'em up.",336,"Stars:
Cam Clarke, 
Rob Paulsen, 
Townsend Coleman, 
Barry Gordon",8.2
WWE 2K22,"
Action, Sport            ",2022,None,"
WWE 2K22 is a professional wrestling video game developed by Visual Concepts and published by 2K Sports. It is the twenty-second overall installment of the video game series based on WWE, ...                See full summary »
",320,"Stars:
Michael Coulthard, 
Matt Polinsky, 
Bryan J. Kelly, 
Drew Gulak",7.5
Gran Turismo 7,"
Sport            ",2022,None,"
25 years after the release of the first title, Gran Turismo 7 brings all of the series best features as well as a myriad of improvements for the ultimate GT experience.",313,None,7.2
Evil Dead: The Game,"
Action, Fantasy, Horror            ",2022,"Directors:
Jesús Iglesias, 
Jason O'Connell","
Step into the shoes of Ash Williams or his friends from the iconic Evil Dead franchise and work together in a game loaded with over-the-top co-op and PVP multiplayer action.",300,"Stars:
Bruce Campbell, 
Betsy Baker, 
Ellen Sandweiss, 
Richard DeManincor",8.4
Hoshi no Kâbî: Disukabarî,"
Action, Adventure, Family            ",2022,"Directors:
Tatsuya Kamiyama, 
Shinya Kumazaki","
Join the powerful pink puffball, Kirby in an unforgettable journey through a mysterious world in a delightful 3D platforming adventure.",298,"Stars:
Makiko Ômoto, 
Kurumi Mamiya, 
Kenta Miyake, 
Minami Takayama",8.4
The Stanley Parable: Ultra Deluxe,"
Adventure, Comedy, Fantasy            ",2022,None,"
An expansion to the original game with more content, more endings, more whimsical adventures of the two best friends Stanley and The Narrator.",296,"Stars:
Kevan Brighting, 
Lesley Staples, 
Aviva Pinchas, 
Alex Hirsch",8.8
Sonic Frontiers,"
Action, Adventure, Family            ",2022,"Director:
Morio Kishimoto","
After Doctor Eggman's attempts to control an ancient technology go wrong, Sonic sets out to rescue his friends and learn the true nature of the technology.",274,"Stars:
Roger Craig Smith, 
Colleen O'Shaughnessey, 
Dave B. Mitchell, 
Cindy Robinson",7.7
Scorn,"
Action, Horror, Sci-Fi            ",2022,None,"
Scorn is an atmospheric first-person horror adventure game set in a nightmarish universe of odd forms and somber tapestry.",255,None,6.4
GhostWire: Tokyo,"
Action, Adventure, Fantasy            ",2022,"Director:
Kenji Kimura","
A massive paranormal event causes the sudden disappearance of 99% of the population while spirits from Japanese folklore storm Tokyo. Players will harness paranormal abilities to solve the mystery of the disappearances and save the city.",247,"Stars:
Kensuke Nishi, 
Kazuhiko Inoue, 
Asami Seto, 
Shunsuke Sakuya",7.1
Cuphead: The Delicious Last Course,"
Animation, Action, Adventure            ",2022,"Directors:
Chad Moldenhauer, 
Jared Moldenhauer","
The two brothers, Cuphead and Mugman are joined by Ms. Chalice for a DLC add-on adventure on a brand new island. Are you ready to take on a new cast of multi-faceted, screen-filling bosses to assist Chef Saltbaker in Cuphead's final challenging quest?",219,"Stars:
Luke de Ayora, 
Luke Hatton, 
Sara Secora",8.9
